assay_type,canonical_smiles,data_validity_comment,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,standard_value_nM,pIC50,smiles_clean
B,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL3902148,10.92,IC50,nM,0.012,IC50,nM,0.012,0.012,10.920818753952377,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC(C)(C)C)nc34)[nH]c21
B,CC(C)n1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,,CHEMBL3940091,10.92,IC50,nM,0.012,IC50,nM,0.012,0.012,10.920818753952377,CC(C)n1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O
B,C[C@@H]1C[C@H](N)C[C@H](c2ccccc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,,CHEMBL4741714,10.74,IC50,nM,0.018,IC50,pM,18.0,0.018,10.744727494896694,C[C@@H]1C[C@H](N)C[C@H](c2ccccc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1
B,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1,,CHEMBL3651966,10.74,IC50,nM,0.018,IC50,pM,18.0,0.018,10.744727494896694,C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1
B,Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](CCN)NC4=O)cccc2c1=O,,CHEMBL3909351,10.7,IC50,nM,0.02,IC50,nM,0.02,0.02,10.69897000433602,Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](CCN)NC4=O)cccc2c1=O
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC1(C)CC1,,CHEMBL3949102,10.45,IC50,nM,0.0354,IC50,nM,0.0354,0.0354,10.450996737974211,Cc1nc2ccc(F)c(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC1(C)CC1
B,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](N)C1,,CHEMBL3903686,10.45,IC50,nM,0.0358,IC50,nM,0.0358,0.0358,10.446116973356126,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](N)C1
B,CCn1c(NC2(C)CC2)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O,,CHEMBL3895124,10.42,IC50,nM,0.0378,IC50,nM,0.0378,0.0378,10.422508200162774,CCn1c(NC2(C)CC2)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O
B,CC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2[nH]c1=O,,CHEMBL3918907,10.42,IC50,nM,0.0378,IC50,nM,0.0378,0.0378,10.422508200162774,CC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2[nH]c1=O
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC1(C)CC1,,CHEMBL3949318,10.32,IC50,nM,0.0484,IC50,nM,0.0484,0.0484,10.315154638355589,Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC1(C)CC1
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5(C)CC5)c(NC5(C)CC5)nc34)[nH]c21,,CHEMBL4568404,10.3,IC50,nM,0.05,IC50,nM,0.05,0.05,10.30102999566398,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5(C)CC5)c(NC5(C)CC5)nc34)[nH]c21
B,Cc1nc2cccc3c2nc1N[C@H](C)/C=C/C[C@H]1CNC(=O)c2cc-3[nH]c21,,CHEMBL3808887,10.3,IC50,nM,0.05,IC50,nM,0.05,0.05,10.30102999566398,Cc1nc2cccc3c2nc1N[C@H](C)/C=C/C[C@H]1CNC(=O)c2cc-3[nH]c21
B,Cc1nc2cccc3c2nc1NCCCC[C@H]1CNC(=O)c2cc-3[nH]c21,,CHEMBL3808669,10.3,IC50,nM,0.05,IC50,nM,0.05,0.05,10.30102999566398,Cc1nc2cccc3c2nc1NCCCC[C@H]1CNC(=O)c2cc-3[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c3N=C(NC3(C)CC3)N(C3CC3)C4)[nH]c21,,CHEMBL3949175,10.22,IC50,nM,0.06,IC50,nM,0.06,0.06,10.221848749616356,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c3N=C(NC3(C)CC3)N(C3CC3)C4)[nH]c21
B,Cc1nc2ccc(F)c(-c3cc4c(=O)[nH]ccc4[nH]3)c2nc1NC(C)(C)C,,CHEMBL3896195,10.18,IC50,nM,0.0667,IC50,nM,0.0667,0.0667,10.175874166083451,Cc1nc2ccc(F)c(-c3cc4c(=O)[nH]ccc4[nH]3)c2nc1NC(C)(C)C
B,Cc1nc2cccc3c2nc1NC/C=C\C[C@H]1CNC(=O)c2cc-3[nH]c21,,CHEMBL3810121,10.15,IC50,nM,0.07,IC50,nM,0.07,0.07,10.154901959985745,Cc1nc2cccc3c2nc1NC/C=C\C[C@H]1CNC(=O)c2cc-3[nH]c21
B,CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O,,CHEMBL3960373,10.13,IC50,nM,0.0741,IC50,nM,0.0741,0.0741,10.130181792020672,CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c1=O
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL3919725,10.12,IC50,nM,0.076,IC50,nM,0.076,0.076,10.119186407719209,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC(C)(C)C)nc34)[nH]c21
B,CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,,CHEMBL3909217,10.11,IC50,nM,0.077,IC50,nM,0.077,0.077,10.113509274827518,CCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O
B,Cc1nc2cccc(-c3[nH]c4c(c3Cl)C(=O)NC4)c2nc1NC1(C)CC1,,CHEMBL3933056,10.11,IC50,nM,0.0783,IC50,nM,0.0783,0.0783,10.106238237942057,Cc1nc2cccc(-c3[nH]c4c(c3Cl)C(=O)NC4)c2nc1NC1(C)CC1
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5CC5)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL4441708,10.1,IC50,nM,0.08,IC50,nM,0.08,0.08,10.096910013008056,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5CC5)c(NC(C)(C)C)nc34)[nH]c21
B,C[C@H]1CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@@H](N)[C@@H]1O,,CHEMBL3966732,10.1,IC50,nM,0.08,IC50,nM,0.08,0.08,10.096910013008056,C[C@H]1CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@@H](N)[C@@H]1O
B,C/C1=C\C[C@H]2CNC(=O)c3cc([nH]c32)-c2cccc3nc(C)c(nc23)NC1,,CHEMBL3808662,10.1,IC50,nM,0.08,IC50,nM,0.08,0.08,10.096910013008056,C/C1=C\C[C@H]2CNC(=O)c3cc([nH]c32)-c2cccc3nc(C)c(nc23)NC1
B,N[C@@H]1CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@H](N)[C@H]1O,,CHEMBL3950251,10.05,IC50,nM,0.09,IC50,nM,0.09,0.09,10.045757490560677,N[C@@H]1CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@H](N)[C@H]1O
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC5(C)CC5)nc34)[nH]c21,,CHEMBL3958862,10.05,IC50,nM,0.09,IC50,nM,0.09,0.09,10.045757490560677,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC5(C)CC5)nc34)[nH]c21
B,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,,CHEMBL3942186,10.03,IC50,nM,0.094,IC50,nM,0.094,0.094,10.0268721464003,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1
B,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C5CC5)c(NC5(C)CCC5)nc34)[nH]c21,,CHEMBL3944421,10.0,IC50,nM,0.1,IC50,nM,0.1,0.1,10.0,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C5CC5)c(NC5(C)CCC5)nc34)[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC5(C)CC5)nc34)[nH]c21,,CHEMBL3941050,10.0,IC50,nM,0.1,IC50,nM,0.1,0.1,10.0,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC5(C)CC5)nc34)[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(N[C@H]5CCC[C@@H](N)C5)nc34)[nH]c21,,CHEMBL3918273,10.0,IC50,nM,0.1,IC50,nM,0.1,0.1,10.0,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(N[C@H]5CCC[C@@H](N)C5)nc34)[nH]c21
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC(C)(C)C,,CHEMBL3979182,10.0,IC50,nM,0.1,IC50,nM,0.1,0.1,10.0,Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC(C)(C)C
B,C[C@H]1C[C@@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1,,CHEMBL3965946,10.0,IC50,nM,0.1,IC50,nM,0.1,0.1,10.0,C[C@H]1C[C@@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C1
B,C[C@H]1C[C@@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4ccccc4F)nn23)C1,,CHEMBL3930148,10.0,IC50,nM,0.1,IC50,nM,0.1,0.1,10.0,C[C@H]1C[C@@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4ccccc4F)nn23)C1
B,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4cc(C(=O)NC5CC5)ccc4F)nn23)C1,,CHEMBL4110951,10.0,IC50,nM,0.1,IC50,nM,0.1,0.1,10.0,C[C@@H]1C[C@H](N)CN(c2ccncc2Nc2ncc3ccc(-c4cc(C(=O)NC5CC5)ccc4F)nn23)C1
B,Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@@H]1CCC[C@H](N)C1,,CHEMBL3958307,,IC50,nM,0.1,IC50,nM,0.1,0.1,10.0,Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@@H]1CCC[C@H](N)C1
B,CCN(c1cnc2cccc(-c3cc4c([nH]3)CCNC4=O)c2n1)C(C)(C)C,,CHEMBL3901766,10.0,IC50,nM,0.1,IC50,nM,0.1,0.1,10.0,CCN(c1cnc2cccc(-c3cc4c([nH]3)CCNC4=O)c2n1)C(C)(C)C
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CCCO)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL3919616,9.96,IC50,nM,0.11,IC50,nM,0.11,0.11,9.958607314841776,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CCCO)c(NC(C)(C)C)nc34)[nH]c21
B,CC(c1cn(C)cn1)n1c(NC2(C)CC2)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,,CHEMBL4471849,9.96,IC50,nM,0.11,IC50,nM,0.11,0.11,9.958607314841776,CC(c1cn(C)cn1)n1c(NC2(C)CC2)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5CC5)c(NC5(C)CC5)nc34)[nH]c21,,CHEMBL4436404,9.92,IC50,nM,0.12,IC50,nM,0.12,0.12,9.920818753952377,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5CC5)c(NC5(C)CC5)nc34)[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C[C@H]5CCCO5)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL4461181,9.89,IC50,nM,0.13,IC50,nM,0.13,0.13,9.886056647693165,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C[C@H]5CCCO5)c(NC(C)(C)C)nc34)[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC5(C)CCC5)nc34)[nH]c21,,CHEMBL3968854,9.89,IC50,nM,0.13,IC50,nM,0.13,0.13,9.886056647693165,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC5(C)CCC5)nc34)[nH]c21
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C)CCC1,,CHEMBL3957722,9.87,IC50,nM,0.136,IC50,nM,0.136,0.136,9.866461091629782,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C)CCC1
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n([C@@H](C)c5cn(C)cn5)c(NC5(C)CC5)nc34)[nH]c21,,CHEMBL4450494,9.82,IC50,nM,0.15,IC50,nM,0.15,0.15,9.82390874094432,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n([C@@H](C)c5cn(C)cn5)c(NC5(C)CC5)nc34)[nH]c21
B,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](NC(=O)[C@H](N)CO)C1,,CHEMBL3910446,9.8,IC50,nM,0.16,IC50,nM,0.16,0.16,9.795880017344077,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](NC(=O)[C@H](N)CO)C1
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(Cc5cn(C)cn5)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL4563904,9.8,IC50,nM,0.16,IC50,nM,0.16,0.16,9.795880017344077,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(Cc5cn(C)cn5)c(NC(C)(C)C)nc34)[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5(C)CC5)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL4456165,9.8,IC50,nM,0.16,IC50,nM,0.16,0.16,9.795880017344077,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5(C)CC5)c(NC(C)(C)C)nc34)[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(N)CC5)c(NC5(C)CC5)nc34)[nH]c21,,CHEMBL4513589,9.8,IC50,nM,0.16,IC50,nM,0.16,0.16,9.795880017344077,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(N)CC5)c(NC5(C)CC5)nc34)[nH]c21
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C)CC1,,CHEMBL3890727,9.79,IC50,nM,0.162,IC50,nM,0.162,0.162,9.790484985457368,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C)CC1
B,Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2c1=O,,CHEMBL3890346,9.77,IC50,nM,0.169,IC50,nM,0.169,0.169,9.772113295386326,Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2c1=O
B,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](CO)NC4=O)c2nc1NC1CC1,,CHEMBL3942145,9.75,IC50,nM,0.177,IC50,nM,0.177,0.177,9.752026733638193,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](CO)NC4=O)c2nc1NC1CC1
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CCC5)c(NC5(C)CC5)nc34)[nH]c21,,CHEMBL4470271,9.74,IC50,nM,0.18,IC50,nM,0.18,0.18,9.744727494896694,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CCC5)c(NC5(C)CC5)nc34)[nH]c21
B,C[C@@H]1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@H]1N,,CHEMBL3896244,9.74,IC50,nM,0.18,IC50,nM,0.18,0.18,9.744727494896694,C[C@@H]1CCN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C[C@H]1N
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(O)CC5)c(NC5(C)CC5)nc34)[nH]c21,,CHEMBL4446411,9.74,IC50,nM,0.18,IC50,nM,0.18,0.18,9.744727494896694,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(O)CC5)c(NC5(C)CC5)nc34)[nH]c21
B,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC1(C)CC1,,CHEMBL3903402,9.74,IC50,nM,0.183,IC50,nM,0.183,0.183,9.73754891026957,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC1(C)CC1
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC(F)(F)F)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL3924828,9.72,IC50,nM,0.19,IC50,nM,0.19,0.19,9.721246399047171,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC(F)(F)F)c(NC(C)(C)C)nc34)[nH]c21
B,Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CNC4=O)cccc2c1=O,,CHEMBL3897988,9.71,IC50,nM,0.193,IC50,nM,0.193,0.193,9.714442690992229,Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CNC4=O)cccc2c1=O
B,COCCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,,CHEMBL3947143,9.71,IC50,nM,0.193,IC50,nM,0.193,0.193,9.714442690992229,COCCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O
B,CCc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,,CHEMBL3914535,9.71,IC50,nM,0.195,IC50,nM,0.195,0.195,9.709965388637482,CCc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC5(C)CCC5)nc34)[nH]c21,,CHEMBL3911461,9.7,IC50,nM,0.2,IC50,nM,0.2,0.2,9.69897000433602,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC5(C)CCC5)nc34)[nH]c21
B,CC(C)Nc1nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c(=O)n1C1CC1,,CHEMBL3984961,9.7,IC50,nM,0.2,IC50,nM,0.2,0.2,9.69897000433602,CC(C)Nc1nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c(=O)n1C1CC1
B,Cc1nc2cccc3c2nc1NCCCC[C@@H]1CNC(=O)c2cc-3[nH]c21,,CHEMBL3808942,9.7,IC50,nM,0.2,IC50,nM,0.2,0.2,9.69897000433602,Cc1nc2cccc3c2nc1NCCCC[C@@H]1CNC(=O)c2cc-3[nH]c21
B,C/C1=C/C[C@H]2CNC(=O)c3cc([nH]c32)-c2cccc3nc(C)c(nc23)NC1,,CHEMBL3809940,9.7,IC50,nM,0.2,IC50,nM,0.2,0.2,9.69897000433602,C/C1=C/C[C@H]2CNC(=O)c3cc([nH]c32)-c2cccc3nc(C)c(nc23)NC1
B,Cc1nc2cccc3c2nc1N[C@H](C)CCC[C@H]1CNC(=O)c2cc-3[nH]c21,,CHEMBL3810095,9.7,IC50,nM,0.2,IC50,nM,0.2,0.2,9.69897000433602,Cc1nc2cccc3c2nc1N[C@H](C)CCC[C@H]1CNC(=O)c2cc-3[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL3979678,9.7,IC50,nM,0.2,IC50,nM,0.2,0.2,9.69897000433602,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC(C)(C)C)nc34)[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC5(C)CCC5)nc34)[nH]c21,,CHEMBL3896782,9.7,IC50,nM,0.2,IC50,nM,0.2,0.2,9.69897000433602,C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC5(C)CCC5)nc34)[nH]c21
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@H](C)NC4=O)c2nc1NC(C)(C)C,,CHEMBL3940707,9.7,IC50,nM,0.201,IC50,nM,0.201,0.201,9.69680394257951,Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@H](C)NC4=O)c2nc1NC(C)(C)C
B,Cc1nc2cccc(-c3cc4c([nH]3)[C@H](C)NC4=O)c2nc1NC1(C)CC1,,CHEMBL3979954,9.7,IC50,nM,0.201,IC50,nM,0.201,0.201,9.69680394257951,Cc1nc2cccc(-c3cc4c([nH]3)[C@H](C)NC4=O)c2nc1NC1(C)CC1
B,Cc1nc2cccc(-c3cc4c([nH]3)C(CO)NC4=O)c2nc1NC1CC1,,CHEMBL3905144,9.67,IC50,nM,0.212,IC50,nM,0.212,0.212,9.67366413907125,Cc1nc2cccc(-c3cc4c([nH]3)C(CO)NC4=O)c2nc1NC1CC1
B,COCCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CNC4=O)cccc2c1=O,,CHEMBL3919362,9.66,IC50,nM,0.218,IC50,nM,0.218,0.218,9.661543506395397,COCCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CNC4=O)cccc2c1=O
B,Cc1nc2cccc(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC(C)(C)C,,CHEMBL3896124,9.65,IC50,nM,0.223,IC50,nM,0.223,0.223,9.651695136951838,Cc1nc2cccc(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC(C)(C)C
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(O)CC5)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL4591512,9.64,IC50,nM,0.23,IC50,nM,0.23,0.23,9.638272163982409,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(O)CC5)c(NC(C)(C)C)nc34)[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)[nH]c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL3934565,9.62,IC50,nM,0.24,IC50,nM,0.24,0.24,9.619788758288394,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)[nH]c(NC(C)(C)C)nc34)[nH]c21
B,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(N)CC5)c(NC(C)(C)C)nc34)[nH]c21,,CHEMBL4468122,9.62,IC50,nM,0.24,IC50,nM,0.24,0.24,9.619788758288394,C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(N)CC5)c(NC(C)(C)C)nc34)[nH]c21
B,Cc1nc2cccc(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC1CC1,,CHEMBL3924143,9.62,IC50,nM,0.242,IC50,nM,0.242,0.242,9.616184634019568,Cc1nc2cccc(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC1CC1
B,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NCC(F)F,,CHEMBL3937161,9.61,IC50,nM,0.246,IC50,nM,0.246,0.246,9.60906489289662,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NCC(F)F
B,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](NCC(F)(F)F)C1,,CHEMBL3913446,9.57,IC50,nM,0.267,IC50,nM,0.267,0.267,9.573488738635424,Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](NCC(F)(F)F)C1
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)CO,,CHEMBL3927716,9.56,IC50,nM,0.272,IC50,nM,0.272,0.272,9.5654310959658,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)CO
B,CCC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)c(F)ccc2nc1C,,CHEMBL3897606,9.56,IC50,nM,0.275,IC50,nM,0.275,0.275,9.560667306169735,CCC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)c(F)ccc2nc1C
B,Cc1nc2nccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,,CHEMBL3919994,9.56,IC50,nM,0.278,IC50,nM,0.278,0.278,9.555955204081924,Cc1nc2nccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C
B,C[C@@H]1[C@@H](N)CCCN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,,CHEMBL3905194,9.54,IC50,nM,0.29,IC50,nM,0.29,0.29,9.537602002101044,C[C@@H]1[C@@H](N)CCCN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12
B,Cc1nc2cccc(-c3cc4c([nH]3)CNC4=O)c2nc1NC1CC1,,CHEMBL3903837,9.53,IC50,nM,0.297,IC50,nM,0.297,0.297,9.527243550682789,Cc1nc2cccc(-c3cc4c([nH]3)CNC4=O)c2nc1NC1CC1
B,Cc1nc2cccc3c2nc1N[C@@H](C)/C=C/C[C@H]1CNC(=O)c2cc-3[nH]c21,,CHEMBL3809986,9.52,IC50,nM,0.3,IC50,nM,0.3,0.3,9.522878745280336,Cc1nc2cccc3c2nc1N[C@@H](C)/C=C/C[C@H]1CNC(=O)c2cc-3[nH]c21
B,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,,CHEMBL4587596,9.52,IC50,nM,0.3,IC50,nM,0.3,0.3,9.522878745280336,Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C
B,CC1(Nc2cnc3cccc(-c4cc5c([nH]4)CCNC5=O)c3n2)CC1,,CHEMBL3965643,9.52,IC50,nM,0.3,IC50,nM,0.3,0.3,9.522878745280336,CC1(Nc2cnc3cccc(-c4cc5c([nH]4)CCNC5=O)c3n2)CC1
